,airborne,aquatic,backbone,breathes,catsize,domestic,eggs,feathers,fins,hair,legs,legs2,legs4,legs5,legs6,legs8,milk,predator,tail,toothed,venomous
reindeer,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
rhea,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
scorpion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
seahorse,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
seal,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
sealion,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0
seasnake,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
seawasp,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
skimmer,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
skua,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
slowworm,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
slug,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sole,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
sparrow,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
squirrel,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
starfish,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
stingray,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
swan,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
termite,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
toad,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
tortoise,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tuatara,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
tuna,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
vampire,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
vole,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
vulture,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
wallaby,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
wasp,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
wolf,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
worm,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wren,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
